ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
48000
ITEM: BOX BOUNDS pp pp pp
-28.2935 28.2935
-28.2935 28.2935
-169.761 169.761
ITEM: ATOMS id type xs ys zs
1 1 0 0 0
2 1 0 0.05 0.00833333
3 1 0.05 0 0.00833333
4 1 0.05 0.05 0
5 1 0.025 0.025 0.00416667
9 1 0.1 0 0
10 1 0.1 0.05 0.00833333
13 1 0.125 0.025 0.00416667
11 1 0.15 0 0.00833333
12 1 0.15 0.05 0
17 1 0.2 0 0
18 1 0.2 0.05 0.00833333
19 1 0.25 0 0.00833333
20 1 0.25 0.05 0
21 1 0.225 0.025 0.00416667
25 1 0.3 0 0
26 1 0.3 0.05 0.00833333
27 1 0.35 0 0.00833333
28 1 0.35 0.05 0
29 1 0.325 0.025 0.00416667
33 1 0.4 0 0
34 1 0.4 0.05 0.00833333
37 1 0.425 0.025 0.00416667
35 1 0.45 0 0.00833333
36 1 0.45 0.05 0
41 1 0.5 0 0
42 1 0.5 0.05 0.00833333
43 1 0.55 0 0.00833333
44 1 0.55 0.05 0
45 1 0.525 0.025 0.00416667
49 1 0.6 0 0
50 1 0.6 0.05 0.00833333
53 1 0.625 0.025 0.00416667
51 1 0.65 0 0.00833333
52 1 0.65 0.05 0
57 1 0.7 0 0
58 1 0.7 0.05 0.00833333
59 1 0.75 0 0.00833333
60 1 0.75 0.05 0
61 1 0.725 0.025 0.00416667
65 1 0.8 0 0
66 1 0.8 0.05 0.00833333
67 1 0.85 0 0.00833333
68 1 0.85 0.05 0
69 1 0.825 0.025 0.00416667
73 1 0.9 0 0
74 1 0.9 0.05 0.00833333
77 1 0.925 0.025 0.00416667
75 1 0.95 0 0.00833333
76 1 0.95 0.05 0
81 1 0 0.1 0
83 1 0.05 0.1 0.00833333
85 1 0.025 0.125 0.00416667
8 1 0.075 0.075 0.00416667
89 1 0.1 0.1 0
93 1 0.125 0.125 0.00416667
16 1 0.175 0.075 0.00416667
91 1 0.15 0.1 0.00833333
97 1 0.2 0.1 0
24 1 0.275 0.075 0.00416667
99 1 0.25 0.1 0.00833333
101 1 0.225 0.125 0.00416667
105 1 0.3 0.1 0
107 1 0.35 0.1 0.00833333
109 1 0.325 0.125 0.00416667
32 1 0.375 0.075 0.00416667
113 1 0.4 0.1 0
117 1 0.425 0.125 0.00416667
40 1 0.475 0.075 0.00416667
115 1 0.45 0.1 0.00833333
121 1 0.5 0.1 0
123 1 0.55 0.1 0.00833333
